Date,Number of flights, ,,,,,,,,,,
02/08/2019,6911,,,,,,,,,,,
03/08/2019,6134,,,,,,,,,,,
04/08/2019,6398,,,,,,,,,,,
05/08/2019,6740,,,,,,,,,,,
06/08/2019,6527,,,,,,,,,,,
07/08/2019,6454,,,,,,,,,,,
08/08/2019,6808,,,,,,,,,,,
09/08/2019,6716,,,,,,,,,,,
10/08/2019,5992,,,,,,,,,,,
11/08/2019,6422,,,,,,,,,,,
12/08/2019,6735,,,,,,,,,,,
13/08/2019,6592,,,,,,,,,,,
14/08/2019,6613,,,,,,,,,,,
15/08/2019,6786,,,,,,,,,,,
16/08/2019,6886,,,,,,,,,,,
17/08/2019,6063,,,,,,,,,,,
18/08/2019,6418,,,,,,,,,,,
19/08/2019,6783,,,,,,,,,,,
20/08/2019,6638,,,,,,,,,,,
21/08/2019,6716,,,,,,,,,,,
22/08/2019,6859,,,,,,,,,,,
23/08/2019,6955,,,,,,,,,,,
24/08/2019,6081,,,,,,,,,,,
25/08/2019,6394,,,,,,,,,,,
26/08/2019,6541,,,,,,,,,,,
27/08/2019,6710,,,,,,,,,,,
28/08/2019,6779,,,,,,,,,,,
29/08/2019,6956,,,,,,,,,,,
30/08/2019,7065,,,,,,,,,,,
31/08/2019,6201,,,,,,,,,,,
01/09/2019,6378,,,,,,,,,,,
02/09/2019,6917,,,,,,,,,,,
03/09/2019,6723,,,,,,,,,,,
04/09/2019,6723,,,,,,,,,,,
05/09/2019,6964,,,,,,,,,,,
06/09/2019,6850,,,,,,,,,,,
07/09/2019,5997,,,,,,,,,,,
08/09/2019,6507,,,,,,,,,,,
09/09/2019,6096,*,,,,,,,,,,
10/09/2019,5926,*,,,,,,,,,,
11/09/2019,6656,*,,,,,,,,,,
12/09/2019,6948,*,,,,,,,,,,
13/09/2019,7047,*,,,,,,,,,,
14/09/2019,5965,*,,,,,,,,,,
15/09/2019,6467,*,,,,,,,,,,
16/09/2019,6847,*,,,,,,,,,,
17/09/2019,6663,,,,,,,,,,,
18/09/2019,6678,,,,,,,,,,,
19/09/2019,6920,,,,,,,,,,,
20/09/2019,7020,,,,,,,,,,,
21/09/2019,5884,,,,,,,,,,,
22/09/2019,6361,,,,,,,,,,,
23/09/2019,6793,,,,,,,,,,,
24/09/2019,6413,,,,,,,,,,,
25/09/2019,6637,,,,,,,,,,,
26/09/2019,6879,,,,,,,,,,,
27/09/2019,6472,,,,,,,,,,,
28/09/2019,5771,,,,,,,,,,,
29/09/2019,6296,,,,,,,,,,,
30/09/2019,6755,,,,,,,,,,,
01/10/2019,6154,,,,,,,,,,,
02/10/2019,6418,,,,,,,,,,,
03/10/2019,6575,,,,,,,,,,,
04/10/2019,6743,,,,,,,,,,,
05/10/2019,5520,,,,,,,,,,,
06/10/2019,6146,,,,,,,,,,,
07/10/2019,6439,,,,,,,,,,,
08/10/2019,6000,,,,,,,,,,,
09/10/2019,6044,,,,,,,,,,,
10/10/2019,6428,,,,,,,,,,,
11/10/2019,6569,,,,,,,,,,,
12/10/2019,5337,,,,,,,,,,,
13/10/2019,5938,,,,,,,,,,,
14/10/2019,6366,,,,,,,,,,,
15/10/2019,6110,,,,,,,,,,,
16/10/2019,6102,,,,,,,,,,,
17/10/2019,6393,,,,,,,,,,,
18/10/2019,6623,,,,,,,,,,,
19/10/2019,5475,,,,,,,,,,,
20/10/2019,5965,,,,,,,,,,,
21/10/2019,6388,,,,,,,,,,,
22/10/2019,6036,,,,,,,,,,,
23/10/2019,6156,,,,,,,,,,,
24/10/2019,6418,,,,,,,,,,,
25/10/2019,6431,,,,,,,,,,,
26/10/2019,5389,,,,,,,,,,,
27/10/2019,5607,,,,,,,,,,,
28/10/2019,5935,,,,,,,,,,,
29/10/2019,5563,,,,,,,,,,,
30/10/2019,5483,,,,,,,,,,,
31/10/2019,5833,,,,,,,,,,,
01/11/2019,5874,,,,,,,,,,,
02/11/2019,4674,,,,,,,,,,,
03/11/2019,5413,,,,,,,,,,,
04/11/2019,5683,,,,,,,,,,,
05/11/2019,5112,,,,,,,,,,,
06/11/2019,4902,,,,,,,,,,,
07/11/2019,5301,,,,,,,,,,,
08/11/2019,5692,,,,,,,,,,,
09/11/2019,4123,,,,,,,,,,,
10/11/2019,5099,,,,,,,,,,,
11/11/2019,5503,,,,,,,,,,,
12/11/2019,4732,,,,,,,,,,,
13/11/2019,4695,,,,,,,,,,,
14/11/2019,5289,,,,,,,,,,,
15/11/2019,5701,,,,,,,,,,,
16/11/2019,4089,,,,,,,,,,,
17/11/2019,5031,,,,,,,,,,,
18/11/2019,5423,,,,,,,,,,,
19/11/2019,4671,,,,,,,,,,,
20/11/2019,4736,,,,,,,,,,,
21/11/2019,5171,,,,,,,,,,,
22/11/2019,5650,,,,,,,,,,,
23/11/2019,3954,,,,,,,,,,,
24/11/2019,4948,,,,,,,,,,,
25/11/2019,5267,,,,,,,,,,,
26/11/2019,4679,,,,,,,,,,,
27/11/2019,4726,,,,,,,,,,,
28/11/2019,5182,,,,,,,,,,,
29/11/2019,5512,,,,,,,,,,,
30/11/2019,4004,,,,,,,,,,,
01/12/2019,5024,,,,,,,,,,,
02/12/2019,5507,,,,,,,,,,,
03/12/2019,4955,,,,,,,,,,,
